# name	lat	lon	state	admin	pop  — GeoNames (CC-BY 4.0), NE India + Sikkim
aalo hq	28.1617	94.8045	AR	1	29763
abdullapur	24.3374	92.2979	TR	0	0
abhaipur	27.0326	94.3243	AS	0	0
abhaipuriagaon	26.7192	94.4206	AS	0	0
abhayapuri	26.3225	90.6853	AS	0	15847
abongkethe	26.1967	92.9615	AS	0	0
acheshon	28.9239	95.9748	AR	0	0
adabari	26.2927	91.4326	AS	0	0
adugiri	25.4439	90.2232	ML	0	0
agamani	26.2017	89.7746	AS	0	0
agamoni	26.2140	89.7795	AS	1	171951
agartala	23.8361	91.2794	TR	0	400004
aghunato	25.9488	94.5774	NL	1	14272
agrong	26.5964	90.7318	AS	0	0
agrophathal	25.7558	90.9028	AS	0	0
ahale	27.1646	88.3137	SK	0	0
ahataguri	26.8333	93.8667	AS	0	0
ahaturi natua gaon	26.2619	92.3246	AS	0	0
aholin	28.4419	95.6999	AR	0	0
ahomgaon	26.7261	94.1217	AS	0	0
ahompathar	26.5086	90.8837	AS	0	0
aibawk	23.4927	92.7269	MZ	1	17128
aichisagami	26.1192	94.5922	NL	0	0
aihol	23.9333	93.9833	MN	0	0
ainak	22.3765	93.1579	MZ	0	0
aitepyong	26.3331	94.2842	NL	1	15839
aizawl	23.8241	92.7652	MZ	1	400309
akhegwo	25.7219	94.6799	NL	0	0
akhria	27.1403	88.1072	SK	0	0
akogaon	26.5704	93.9209	AS	0	0
akolin	28.7999	95.9317	AR	0	0
aksiguri	26.3203	89.8564	AS	0	0
akuhaito	26.0813	94.4337	NL	1	3876
akuluto	26.2051	94.4785	NL	1	6612
alakjhar	26.4248	89.9431	AS	0	0
alakjhari	26.2570	89.8734	AS	0	0
alampaiyam	11.4569	77.1675	MZ	0	0
alengi gaon	26.5762	94.1424	AS	0	0
algapur	24.7763	92.6029	AS	1	127585
algpur	24.8668	92.6872	AS	0	0
alikakh	26.1078	91.2708	AS	0	0
alongkima	26.5233	94.4990	NL	1	3962
alonung	28.3833	95.5500	AR	0	0
amahator	25.9556	94.7294	NL	1	8302
amaravila	8.3934	77.1066	MZ	0	0
amarpur	23.5907	91.6837	TR	1	106045
amatulla	26.9476	92.1387	AR	0	0
ambasa	23.9360	91.8544	TR	0	16285
ambassa	23.8279	91.8794	TR	1	70903
ambicapur pt vi	24.7826	92.7892	AS	0	7971
ambicapur pt viii	24.8209	92.7754	AS	0	11691
ambikapur part-x	24.7993	92.7920	AS	0	14283
amguri	26.8412	94.5719	AS	1	144009
amguri bazar	26.6352	90.5642	AS	0	0
amguri nepali	27.3310	95.2449	AS	0	0
amihora	26.3516	89.9986	AS	0	0
amili	28.4209	95.8506	AR	0	0
